9395,15615753,Upchurch,597,0,0,35,131101.04,1,1,1,192852.67,2
899,LP002570,CULLEN,523,2,0,40,102967.41,1,1,0,128702.1,2
2399,15633877,LAURIE,706,2,0,42,95386.82,1,1,1,75732.25,2
5907,15745623,Worsnop,788,1,1,32,112079.58,1,0,0,89368.59,2
2344,15765902,LAEL,706,1,1,38,163034.82,2,1,1,135662.17,2
8226,15804142,Tan,670,2,0,57,175575.95,2,1,0,99061.75,1
5507,15697028,McClinton,590,2,1,34,65812.35,2,0,1,160346.3,2
6452,15722583,Benjamin,636,0,0,29,157576.47,2,1,1,101102.39,2
2671,15760446,MAKANI,598,0,0,64,0.0,1,0,1,13181.37,2
3498,15588944,RASHIDA,456,2,0,63,165350.61,2,0,0,140758.07,1
1088,15696098,DOCTOR,498,1,0,31,0.0,2,1,0,13892.57,2
1820,15712319,IDANIA,714,1,1,45,150900.29,2,0,1,139889.15,2
2309,15611029,KRIS,488,1,0,33,140002.35,1,1,0,123613.81,2
6085,15619494,Abdulov,562,0,0,31,117153.0,1,1,1,108675.01,2
3725,15703541,SEAN,772,1,0,51,143930.92,1,0,1,46675.51,2
3185,15631070,OAKLEY,667,1,1,55,154393.43,1,1,1,137674.96,2
6388,15810807,Alekseeva,513,1,0,43,0.0,2,1,0,152499.8,2
3729,15806210,SEBASTIEN,675,2,1,66,115654.47,2,1,1,131970.86,2
2703,15670172,MARCELLA,622,0,0,30,107879.04,1,0,1,196894.62,2
7884,15776051,Kao,551,0,0,45,0.0,2,1,1,51143.43,2
2931,15573452,MINDY,663,1,1,42,115930.87,1,1,0,19862.78,2
5989,15809227,Chukwudi,850,0,1,35,0.0,2,1,1,56991.66,2
4891,15797113,Bevan,552,0,0,34,0.0,2,1,0,140286.69,2
6719,15744553,Ho,444,2,1,34,144318.97,1,1,0,112668.06,2
5424,15749671,K?,794,0,1,35,0.0,2,1,1,68730.91,2
3214,15594762,OLAF,827,1,1,46,183276.32,1,1,1,13460.27,2
3018,15701962,MURIEL,590,1,0,29,166930.76,2,1,0,122487.73,2
383,LP002231,BARTON,492,2,0,30,77168.87,2,0,1,146700.22,2
4238,15736271,VANESSA,498,0,0,29,0.0,1,1,0,190035.83,2
4722,15695034,Christie,757,2,0,44,123322.15,1,1,0,137136.29,2
9548,15682454,McFarland,626,1,0,34,0.0,2,1,1,37870.29,2
9478,15592104,Lane,655,2,0,41,0.0,1,0,0,36548.0,2
4796,15691387,Agafonova,483,1,1,29,0.0,1,1,1,81634.45,2
4748,15702380,De Luca,663,1,1,64,0.0,2,0,1,15876.52,2
9367,15656009,McIntyre,736,2,0,36,0.0,1,1,0,70496.66,2
5335,15813681,Zito,786,1,1,24,120135.55,2,1,1,125449.47,2
6653,15714380,Butcher,827,1,1,38,0.0,2,0,0,103305.01,2
9033,15658435,Hingston,781,2,0,27,0.0,2,0,0,72969.9,2
581,LP002892,BURDETTE,701,1,1,36,0.0,2,1,0,169161.46,2
9492,15619674,White,649,0,0,35,108306.44,1,1,1,192486.24,2
6527,15700946,Kolesnikova,574,0,0,34,152992.91,1,1,1,134691.2,2
4347,15585853,WILLIS,743,1,1,41,0.0,1,1,0,163736.09,2
4975,15744942,Steele,638,2,0,55,155828.22,1,0,1,108987.25,2
7914,15649450,Repina,805,1,1,24,143221.35,2,1,0,186035.72,2
5612,15721207,Piazza,625,0,1,42,100047.33,1,1,0,93429.95,2
8481,15597591,Lung,456,0,1,29,107000.49,1,1,1,153419.62,2
6626,15610912,Ferri,657,0,0,41,112119.48,1,1,0,17536.82,2
5616,15775339,Lori,520,2,0,29,95947.76,1,1,0,4696.44,2
5603,15760521,Thompson,796,1,0,50,94164.0,1,1,1,189414.74,2
4858,15717995,Keen,849,2,1,27,0.0,2,0,1,157891.86,2
6735,15723318,Mactier,619,0,0,55,0.0,3,0,0,60810.64,1
8452,15580043,Murray,575,2,0,22,105229.34,1,1,1,34397.08,2
6333,15793046,Holden,619,0,0,35,90413.12,1,1,1,20555.21,2
6799,15799925,Uwakwe,800,2,1,60,88541.57,2,1,1,131718.12,2
5314,15794939,Chiu,783,1,0,72,121215.9,2,1,1,105206.48,2
2822,15626385,MAY,714,2,0,33,103121.33,2,1,1,49672.01,2
9301,15591628,Davies,701,2,1,41,164046.1,1,1,0,49405.93,2
2376,15764618,LANZA,815,0,0,39,0.0,1,1,1,85167.88,2
